记录时间: 2025-04-11 15:51:08

当前运行的应用程序:
PID: 0, 名称: System Idle Process, 用户: NT AUTHORITY\SYSTEM
PID: 4, 名称: System, 用户: NT AUTHORITY\SYSTEM
PID: 232, 名称: Registry, 用户: NT AUTHORITY\SYSTEM
PID: 612, 名称: conhost.exe, 用户: PC-20240921UCSH\Administrator
PID: 752, 名称: smss.exe, 用户: NT AUTHORITY\SYSTEM
PID: 820, 名称: svchost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 852, 名称: csrss.exe, 用户: NT AUTHORITY\SYSTEM
PID: 920, 名称: cmd.exe, 用户: PC-20240921UCSH\Administrator
PID: 1044, 名称: sihost.exe, 用户: PC-20240921UCSH\Administrator
PID: 1096, 名称: svchost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 1108, 名称: wininit.exe, 用户: NT AUTHORITY\SYSTEM
PID: 1116, 名称: csrss.exe, 用户: NT AUTHORITY\SYSTEM
PID: 1208, 名称: winlogon.exe, 用户: NT AUTHORITY\SYSTEM
PID: 1268, 名称: svchost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 1308, 名称: svchost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 1324, 名称: services.exe, 用户: NT AUTHORITY\SYSTEM
PID: 1348, 名称: lsass.exe, 用户: NT AUTHORITY\SYSTEM
PID: 1368, 名称: svchost.exe, 用户: NT AUTHORITY\NETWORK SERVICE
PID: 1472, 名称: svchost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 1488, 名称: svchost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 1492, 名称: fontdrvhost.exe, 用户: Font Driver Host\UMFD-1
PID: 1500, 名称: fontdrvhost.exe, 用户: Font Driver Host\UMFD-0
PID: 1572, 名称: WUDFHost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 1644, 名称: svchost.exe, 用户: NT AUTHORITY\NETWORK SERVICE
PID: 1688, 名称: svchost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 1692, 名称: svchost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 1768, 名称: WUDFHost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 1828, 名称: WUDFHost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 1888, 名称: WUDFHost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 1952, 名称: WUDFHost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 2008, 名称: svchost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 2032, 名称: dwm.exe, 用户: Window Manager\DWM-1
PID: 2144, 名称: ZSpaceSync.exe, 用户: PC-20240921UCSH\Administrator
PID: 2152, 名称: svchost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 2248, 名称: conhost.exe, 用户: PC-20240921UCSH\Administrator
PID: 2252, 名称: svchost.exe, 用户: NT AUTHORITY\NETWORK SERVICE
PID: 2260, 名称: svchost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 2316, 名称: svchost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 2328, 名称: svchost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 2336, 名称: svchost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 2352, 名称: conhost.exe, 用户: PC-20240921UCSH\Administrator
PID: 2364, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 2428, 名称: svchost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 2528, 名称: Code.exe, 用户: PC-20240921UCSH\Administrator
PID: 2540, 名称: Code.exe, 用户: PC-20240921UCSH\Administrator
PID: 2580, 名称: IntelCpHDCPSvc.exe, 用户: NT AUTHORITY\SYSTEM
PID: 2588, 名称: svchost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 2596, 名称: svchost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 2604, 名称: svchost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 2680, 名称: svchost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 2692, 名称: svchost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 2704, 名称: ECAgent.exe, 用户: PC-20240921UCSH\Administrator
PID: 2740, 名称: MoTTYnew.exe, 用户: PC-20240921UCSH\Administrator
